term,freq,journal,year
fructokinase,1,New Phytologist,2016
fruit,3,New Phytologist,2016
fucose,1,New Phytologist,2016
fucus,1,New Phytologist,2016
fuel,1,New Phytologist,2016
function,14,New Phytologist,2016
functional,13,New Phytologist,2016
functioning,4,New Phytologist,2016
functions,5,New Phytologist,2016
fungal,17,New Phytologist,2016
fungi,7,New Phytologist,2016
fungus,7,New Phytologist,2016
furanocoumarin,1,New Phytologist,2016
fusarium,4,New Phytologist,2016
fuse,1,New Phytologist,2016
future,3,New Phytologist,2016
g,1,New Phytologist,2016
gaba,1,New Phytologist,2016
galls,1,New Phytologist,2016
game,2,New Phytologist,2016
gametophytic,1,New Phytologist,2016
gamma,1,New Phytologist,2016
gap,2,New Phytologist,2016
gaps,1,New Phytologist,2016
garden,1,New Phytologist,2016
gas,1,New Phytologist,2016
geminiviruses,1,New Phytologist,2016
gene,18,New Phytologist,2016
genera,1,New Phytologist,2016
general,1,New Phytologist,2016
generate,1,New Phytologist,2016
generation,1,New Phytologist,2016
genes,13,New Phytologist,2016
genetic,18,New Phytologist,2016
genetics,4,New Phytologist,2016
genome,20,New Phytologist,2016
genomes,1,New Phytologist,2016
genomic,6,New Phytologist,2016
genomics,7,New Phytologist,2016
genotype,2,New Phytologist,2016
genus,3,New Phytologist,2016
geographic,1,New Phytologist,2016
geography,1,New Phytologist,2016
geologic,1,New Phytologist,2016
geological,1,New Phytologist,2016
geranylgeranyl,1,New Phytologist,2016
germinate,1,New Phytologist,2016
germination,3,New Phytologist,2016
gevuina,1,New Phytologist,2016
ghmml,1,New Phytologist,2016
giant,1,New Phytologist,2016
gibberellic,1,New Phytologist,2016
gibberellin,2,New Phytologist,2016
ginger,1,New Phytologist,2016
glacial,2,New Phytologist,2016
glauca,2,New Phytologist,2016
gleason,1,New Phytologist,2016
global,6,New Phytologist,2016
globulus,1,New Phytologist,2016
glucan,2,New Phytologist,2016
glucuronosylation,1,New Phytologist,2016
glucuronosyltransferase,1,New Phytologist,2016
glutathione,1,New Phytologist,2016
glycan,3,New Phytologist,2016
glycine,3,New Phytologist,2016
glycoproteins,2,New Phytologist,2016
glycyrrhetinic,1,New Phytologist,2016
glycyrrhizin,1,New Phytologist,2016
glyoxal,1,New Phytologist,2016
gmelinii,1,New Phytologist,2016
gnaphalieae,1,New Phytologist,2016
going,1,New Phytologist,2016
golden,1,New Phytologist,2016
golgi,1,New Phytologist,2016
gossypium,1,New Phytologist,2016
governed,1,New Phytologist,2016
gradient,4,New Phytologist,2016
gradients,5,New Phytologist,2016
grain,1,New Phytologist,2016
grains,2,New Phytologist,2016
graminearum,2,New Phytologist,2016
graminis,1,New Phytologist,2016
grandis,1,New Phytologist,2016
grapevine,1,New Phytologist,2016
grass,1,New Phytologist,2016
grassland,4,New Phytologist,2016
grasslands,2,New Phytologist,2016
gravitropic,1,New Phytologist,2016
gravitropism,3,New Phytologist,2016
gravitropisms,1,New Phytologist,2016
greater,1,New Phytologist,2016
green,2,New Phytologist,2016
grey,1,New Phytologist,2016
ground,2,New Phytologist,2016
group,1,New Phytologist,2016
groups,2,New Phytologist,2016
grow,1,New Phytologist,2016
growing,2,New Phytologist,2016
growth,14,New Phytologist,2016
guard,3,New Phytologist,2016
guttatus,2,New Phytologist,2016
gymnosperms,1,New Phytologist,2016
gynodioecy,1,New Phytologist,2016
h,4,New Phytologist,2016
habitat,3,New Phytologist,2016
haiku,1,New Phytologist,2016
hair,3,New Phytologist,2016
halleri,1,New Phytologist,2016
handling,1,New Phytologist,2016
haploid,1,New Phytologist,2016
harbor,1,New Phytologist,2016
hardwood,1,New Phytologist,2016
harvesting,3,New Phytologist,2016
has,2,New Phytologist,2016
have,3,New Phytologist,2016
hawkmoth,1,New Phytologist,2016
hd,1,New Phytologist,2016
health,1,New Phytologist,2016
heat,5,New Phytologist,2016
height,1,New Phytologist,2016
helianthus,1,New Phytologist,2016
helper,1,New Phytologist,2016
helps,1,New Phytologist,2016
hemipteran,1,New Phytologist,2016
herb,2,New Phytologist,2016
herbaceous,2,New Phytologist,2016
herbivore,2,New Phytologist,2016
herbivores,1,New Phytologist,2016
herbivory,3,New Phytologist,2016
herbs,1,New Phytologist,2016
heritability,1,New Phytologist,2016
heritable,1,New Phytologist,2016
heteroblastic,1,New Phytologist,2016
heterogeneity,2,New Phytologist,2016
heterologous,1,New Phytologist,2016
heterosis,1,New Phytologist,2016
heterospecific,1,New Phytologist,2016
hidden,2,New Phytologist,2016
hide,1,New Phytologist,2016
higginsianum,1,New Phytologist,2016
high,12,New Phytologist,2016
higher,2,New Phytologist,2016
highlights,1,New Phytologist,2016
highly,2,New Phytologist,2016
himalayas,1,New Phytologist,2016
hirsuta,1,New Phytologist,2016
hirsutum,1,New Phytologist,2016
his,1,New Phytologist,2016
histone,2,New Phytologist,2016
historic,1,New Phytologist,2016
historical,4,New Phytologist,2016
history,6,New Phytologist,2016
holobiont,1,New Phytologist,2016
holocene,1,New Phytologist,2016
homeodomain,1,New Phytologist,2016
homeostasis,3,New Phytologist,2016
homolog,2,New Phytologist,2016
homologs,1,New Phytologist,2016
homology,1,New Phytologist,2016
homomorphic,1,New Phytologist,2016
hordei,1,New Phytologist,2016
hordeum,2,New Phytologist,2016
horizontal,1,New Phytologist,2016
hormonal,1,New Phytologist,2016
host,14,New Phytologist,2016
hosts,3,New Phytologist,2016
hot,1,New Phytologist,2016
hotspot,1,New Phytologist,2016
how,6,New Phytologist,2016
hplc,1,New Phytologist,2016
hub,1,New Phytologist,2016
hubs,1,New Phytologist,2016
hunt,1,New Phytologist,2016
huxleyi,3,New Phytologist,2016
hvcsld,1,New Phytologist,2016
hvgsl,1,New Phytologist,2016
hvmlh,1,New Phytologist,2016
hyacinthaceae,1,New Phytologist,2016
hybrid,5,New Phytologist,2016
hybridity,1,New Phytologist,2016
hybridization,3,New Phytologist,2016
hydatellaceae,1,New Phytologist,2016
hydraulic,11,New Phytologist,2016
hydraulics,2,New Phytologist,2016
hydrophilic,1,New Phytologist,2016
hyperaccumulating,1,New Phytologist,2016
hyperaccumulation,1,New Phytologist,2016
hyphal,1,New Phytologist,2016
hypocotyl,1,New Phytologist,2016
hypogaea,1,New Phytologist,2016
hypotheses,2,New Phytologist,2016
hypothesis,2,New Phytologist,2016
i,1,New Phytologist,2016
identification,4,New Phytologist,2016
identified,1,New Phytologist,2016
identify,1,New Phytologist,2016
identifying,1,New Phytologist,2016
identity,2,New Phytologist,2016
ii,3,New Phytologist,2016
iii,3,New Phytologist,2016
immune,3,New Phytologist,2016
immunity,11,New Phytologist,2016
impact,4,New Phytologist,2016
impacts,1,New Phytologist,2016
impera,1,New Phytologist,2016
implicated,1,New Phytologist,2016
implicates,2,New Phytologist,2016
implications,3,New Phytologist,2016
importance,2,New Phytologist,2016
important,3,New Phytologist,2016
improvement,1,New Phytologist,2016
inactivation,1,New Phytologist,2016
inaequalis,1,New Phytologist,2016
inbreeding,2,New Phytologist,2016
incana,1,New Phytologist,2016
incident,1,New Phytologist,2016
including,1,New Phytologist,2016
incompatibility,1,New Phytologist,2016
incorrect,1,New Phytologist,2016
increased,4,New Phytologist,2016
increases,2,New Phytologist,2016
increasing,1,New Phytologist,2016
independent,2,New Phytologist,2016
independently,1,New Phytologist,2016
indicate,1,New Phytologist,2016
indirect,1,New Phytologist,2016
individual,2,New Phytologist,2016
individuals,1,New Phytologist,2016
induce,3,New Phytologist,2016
induced,15,New Phytologist,2016
induces,2,New Phytologist,2016
inducing,1,New Phytologist,2016
industrial,1,New Phytologist,2016
infected,2,New Phytologist,2016
infection,4,New Phytologist,2016
inference,1,New Phytologist,2016
infestans,2,New Phytologist,2016
inflorescence,1,New Phytologist,2016
influence,5,New Phytologist,2016
inhabiting,1,New Phytologist,2016
inhibiting,1,New Phytologist,2016
inhibition,1,New Phytologist,2016
inhibitors,2,New Phytologist,2016
initiate,2,New Phytologist,2016
innate,2,New Phytologist,2016
inoculated,1,New Phytologist,2016
input,1,New Phytologist,2016
inputs,1,New Phytologist,2016
insect,2,New Phytologist,2016
insects,1,New Phytologist,2016
insensitive,1,New Phytologist,2016
insensitivity,1,New Phytologist,2016
inside,1,New Phytologist,2016
insights,5,New Phytologist,2016
inspirational,1,New Phytologist,2016
integrated,2,New Phytologist,2016
integrating,1,New Phytologist,2016
integration,3,New Phytologist,2016
integrative,1,New Phytologist,2016
inter,1,New Phytologist,2016
interact,1,New Phytologist,2016
interacting,4,New Phytologist,2016
interaction,4,New Phytologist,2016
interactions,14,New Phytologist,2016
interacts,2,New Phytologist,2016
interannual,1,New Phytologist,2016
intercellular,1,New Phytologist,2016
interception,1,New Phytologist,2016
interdomain,1,New Phytologist,2016
interface,3,New Phytologist,2016
interfering,1,New Phytologist,2016
interguild,1,New Phytologist,2016
internal,1,New Phytologist,2016
interplay,1,New Phytologist,2016
intra,1,New Phytologist,2016
intracellular,4,New Phytologist,2016
intraspecific,2,New Phytologist,2016
intrinsically,1,New Phytologist,2016
introduction,1,New Phytologist,2016
introgressions,1,New Phytologist,2016
invader,1,New Phytologist,2016
invariant,1,New Phytologist,2016
invasive,4,New Phytologist,2016
invasiveness,1,New Phytologist,2016
inventory,1,New Phytologist,2016
inverse,1,New Phytologist,2016
inverted,1,New Phytologist,2016
investigated,1,New Phytologist,2016
investigation,2,New Phytologist,2016
inviability,1,New Phytologist,2016
involved,4,New Phytologist,2016
involves,1,New Phytologist,2016
involving,1,New Phytologist,2016
ion,1,New Phytologist,2016
ire,1,New Phytologist,2016
irish,1,New Phytologist,2016
iron,2,New Phytologist,2016
islands,1,New Phytologist,2016
isoasp,1,New Phytologist,2016
isoaspartyl,1,New Phytologist,2016
isochorismate,1,New Phytologist,2016
isoform,1,New Phytologist,2016
isoforms,1,New Phytologist,2016
isolated,1,New Phytologist,2016
isolates,1,New Phytologist,2016
isolation,2,New Phytologist,2016
isopentenyltransferase,1,New Phytologist,2016
isoprenoids,1,New Phytologist,2016
isotope,7,New Phytologist,2016
isozyme,1,New Phytologist,2016
issue,2,New Phytologist,2016
it,2,New Phytologist,2016
j,1,New Phytologist,2016
ja,1,New Phytologist,2016
jasmonate,2,New Phytologist,2016
jasmonic,1,New Phytologist,2016
javanica,1,New Phytologist,2016
jaz,1,New Phytologist,2016
jobs,1,New Phytologist,2016
jones,1,New Phytologist,2016
journey,1,New Phytologist,2016
juggling,1,New Phytologist,2016
jumps,1,New Phytologist,2016
juncea,1,New Phytologist,2016
jury,2,New Phytologist,2016
just,1,New Phytologist,2016
kabuli,1,New Phytologist,2016
karyotype,1,New Phytologist,2016
katie,1,New Phytologist,2016
kelps,1,New Phytologist,2016
key,7,New Phytologist,2016
kill,1,New Phytologist,2016
kin,2,New Phytologist,2016
kinase,5,New Phytologist,2016
kinetics,1,New Phytologist,2016
km,1,New Phytologist,2016
knockdown,1,New Phytologist,2016
knot,2,New Phytologist,2016
know,2,New Phytologist,2016
l,2,New Phytologist,2016
labelling,1,New Phytologist,2016
lamiaceae,1,New Phytologist,2016
lamina,1,New Phytologist,2016
land,5,New Phytologist,2016
landscape,4,New Phytologist,2016
large,3,New Phytologist,2016
larix,2,New Phytologist,2016
late,2,New Phytologist,2016
latent,1,New Phytologist,2016
latitude,1,New Phytologist,2016
latitudes,1,New Phytologist,2016
latitudinal,2,New Phytologist,2016
leads,2,New Phytologist,2016
leaf,23,New Phytologist,2016
learning,1,New Phytologist,2016
leaves,6,New Phytologist,2016
legacy,1,New Phytologist,2016
legume,4,New Phytologist,2016
leguminosarum,1,New Phytologist,2016
length,1,New Phytologist,2016
leptosphaeria,1,New Phytologist,2016
lesion,1,New Phytologist,2016
less,1,New Phytologist,2016
lessons,1,New Phytologist,2016
lethality,1,New Phytologist,2016
level,3,New Phytologist,2016
levels,3,New Phytologist,2016
lewisii,1,New Phytologist,2016
lhcb,2,New Phytologist,2016
lhy,1,New Phytologist,2016
lichen,2,New Phytologist,2016
lichens,1,New Phytologist,2016
life,5,New Phytologist,2016
ligase,2,New Phytologist,2016
light,18,New Phytologist,2016
lignocellulosic,1,New Phytologist,2016
like,21,New Phytologist,2016
likelihood,1,New Phytologist,2016
liliaceae,1,New Phytologist,2016
limitation,5,New Phytologist,2016
limited,1,New Phytologist,2016
lineage,5,New Phytologist,2016
linear,1,New Phytologist,2016
linkages,1,New Phytologist,2016
linked,2,New Phytologist,2016
links,1,New Phytologist,2016
lipid,1,New Phytologist,2016
lipidome,1,New Phytologist,2016
litter,1,New Phytologist,2016
liverworts,1,New Phytologist,2016
living,2,New Phytologist,2016
lncrnas,1,New Phytologist,2016
local,5,New Phytologist,2016
localization,3,New Phytologist,2016
localized,2,New Phytologist,2016
loci,1,New Phytologist,2016
lock,1,New Phytologist,2016
locule,1,New Phytologist,2016
locus,6,New Phytologist,2016
lodgepole,1,New Phytologist,2016
lolium,1,New Phytologist,2016
long,5,New Phytologist,2016
longer,1,New Phytologist,2016
longevity,1,New Phytologist,2016
longleaf,1,New Phytologist,2016
look,1,New Phytologist,2016
lose,1,New Phytologist,2016
loss,4,New Phytologist,2016
low,5,New Phytologist,2016
lowland,1,New Phytologist,2016
lrr,1,New Phytologist,2016
lyase,1,New Phytologist,2016
lychnis,2,New Phytologist,2016
lycopersicon,1,New Phytologist,2016
lycophyte,1,New Phytologist,2016
lycophytes,1,New Phytologist,2016
lysine,1,New Phytologist,2016
lysm,2,New Phytologist,2016
m,1,New Phytologist,2016
machine,1,New Phytologist,2016
macroecology,1,New Phytologist,2016
macroevolution,2,New Phytologist,2016
macroevolutionary,1,New Phytologist,2016
maculans,1,New Phytologist,2016
magnaporthe,1,New Phytologist,2016
magnesium,1,New Phytologist,2016
maintenance,3,New Phytologist,2016
maize,6,New Phytologist,2016
major,5,New Phytologist,2016
makes,1,New Phytologist,2016
mamp,1,New Phytologist,2016
managing,1,New Phytologist,2016
mane,1,New Phytologist,2016
manner,1,New Phytologist,2016
many,4,New Phytologist,2016
map,1,New Phytologist,2016
maple,2,New Phytologist,2016
mapping,1,New Phytologist,2016
marchantia,2,New Phytologist,2016
marchantiopsida,1,New Phytologist,2016
marginal,1,New Phytologist,2016
marine,4,New Phytologist,2016
martensii,1,New Phytologist,2016
mask,1,New Phytologist,2016
mass,2,New Phytologist,2016
massive,1,New Phytologist,2016
mast,2,New Phytologist,2016
masting,1,New Phytologist,2016
matching,2,New Phytologist,2016
mating,1,New Phytologist,2016
matter,5,New Phytologist,2016
matters,1,New Phytologist,2016
maturation,1,New Phytologist,2016
maurin,1,New Phytologist,2016
maximum,2,New Phytologist,2016
may,4,New Phytologist,2016
mays,1,New Phytologist,2016
mbd,1,New Phytologist,2016
mdmyb,1,New Phytologist,2016
mean,1,New Phytologist,2016
measure,1,New Phytologist,2016
measured,1,New Phytologist,2016
measurement,1,New Phytologist,2016
measurements,2,New Phytologist,2016
mechanism,6,New Phytologist,2016
mechanisms,10,New Phytologist,2016
mediate,2,New Phytologist,2016
mediated,13,New Phytologist,2016
mediates,4,New Phytologist,2016
medicago,3,New Phytologist,2016
mediterranean,3,New Phytologist,2016
melampsora,1,New Phytologist,2016
meloidogyne,2,New Phytologist,2016
melon,1,New Phytologist,2016
member,1,New Phytologist,2016
membrane,4,New Phytologist,2016
meristem,4,New Phytologist,2016
meristems,1,New Phytologist,2016
mesophyll,4,New Phytologist,2016
meta,1,New Phytologist,2016
metabolic,2,New Phytologist,2016
metabolite,1,New Phytologist,2016
metabolites,1,New Phytologist,2016
metabolome,1,New Phytologist,2016
metabolomic,2,New Phytologist,2016
metal,1,New Phytologist,2016
metallicolous,1,New Phytologist,2016
methane,1,New Phytologist,2016
method,3,New Phytologist,2016
methods,1,New Phytologist,2016
methyl,1,New Phytologist,2016
methylation,3,New Phytologist,2016
methyltransferase,2,New Phytologist,2016
mexico,1,New Phytologist,2016
microbe,4,New Phytologist,2016
microbes,1,New Phytologist,2016
microbial,4,New Phytologist,2016
microbiome,3,New Phytologist,2016
microbiota,1,New Phytologist,2016
microcarpa,1,New Phytologist,2016
micronutrient,1,New Phytologist,2016
microrefugia,1,New Phytologist,2016
microrna,2,New Phytologist,2016
micrornas,1,New Phytologist,2016
microsatellite,1,New Phytologist,2016
microtubule,2,New Phytologist,2016
mid,1,New Phytologist,2016
mildew,2,New Phytologist,2016
milkweeds,1,New Phytologist,2016
mimicking,1,New Phytologist,2016
mimosa,1,New Phytologist,2016
mimulus,5,New Phytologist,2016
minding,1,New Phytologist,2016
mineral,2,New Phytologist,2016
mining,1,New Phytologist,2016
mipep,1,New Phytologist,2016
mir,2,New Phytologist,2016
mirna,1,New Phytologist,2016
mitigate,1,New Phytologist,2016
mitochondrial,1,New Phytologist,2016
mitotic,1,New Phytologist,2016
mixed,1,New Phytologist,2016
mixepression,1,New Phytologist,2016
mobilize,1,New Phytologist,2016
mode,1,New Phytologist,2016
model,6,New Phytologist,2016
modeling,1,New Phytologist,2016
modelling,1,New Phytologist,2016
models,4,New Phytologist,2016
modern,1,New Phytologist,2016
modifications,2,New Phytologist,2016
modified,1,New Phytologist,2016
modifier,1,New Phytologist,2016
modify,1,New Phytologist,2016
modulates,2,New Phytologist,2016
modulation,1,New Phytologist,2016
module,1,New Phytologist,2016
modules,1,New Phytologist,2016
moisture,1,New Phytologist,2016
molecular,11,New Phytologist,2016
molecule,1,New Phytologist,2016
mongolia,1,New Phytologist,2016
monitoring,1,New Phytologist,2016
monocots,1,New Phytologist,2016
monopodial,1,New Phytologist,2016
monopteros,1,New Phytologist,2016
monoterpene,1,New Phytologist,2016
more,8,New Phytologist,2016
morphogenesis,2,New Phytologist,2016
morphological,1,New Phytologist,2016
morphology,1,New Phytologist,2016
mortality,1,New Phytologist,2016
mosaic,1,New Phytologist,2016
moss,2,New Phytologist,2016
mosses,1,New Phytologist,2016
most,1,New Phytologist,2016
mosyn,1,New Phytologist,2016
mountain,2,New Phytologist,2016
mouths,1,New Phytologist,2016
mrna,2,New Phytologist,2016
mttt,1,New Phytologist,2016
multicellular,1,New Phytologist,2016
multidimensional,1,New Phytologist,2016
multifunctional,2,New Phytologist,2016
multifunctionality,1,New Phytologist,2016
multilayered,1,New Phytologist,2016
multiple,10,New Phytologist,2016
musaceae,1,New Phytologist,2016
mushroom,1,New Phytologist,2016
mutant,2,New Phytologist,2016
mutants,1,New Phytologist,2016
mutation,3,New Phytologist,2016
mutl,1,New Phytologist,2016
mutualism,2,New Phytologist,2016
mutualisms,2,New Phytologist,2016
myb,1,New Phytologist,2016
mycelia,1,New Phytologist,2016
mycelial,2,New Phytologist,2016
mycelium,1,New Phytologist,2016
mycobiome,1,New Phytologist,2016
mycoheterotrophy,2,New Phytologist,2016
mycorrhizal,11,New Phytologist,2016
mycorrhizas,1,New Phytologist,2016
n,4,New Phytologist,2016
nac,2,New Phytologist,2016
narcissus,1,New Phytologist,2016
nasty,1,New Phytologist,2016
native,5,New Phytologist,2016
natives,1,New Phytologist,2016
natural,5,New Phytologist,2016
nature,2,New Phytologist,2016
nb,1,New Phytologist,2016
necessary,1,New Phytologist,2016
necromass,1,New Phytologist,2016
necrotrophic,1,New Phytologist,2016
needle,1,New Phytologist,2016
negating,1,New Phytologist,2016
negative,1,New Phytologist,2016
negatively,2,New Phytologist,2016
neighbourhood,1,New Phytologist,2016
neighbouring,1,New Phytologist,2016
neighbours,1,New Phytologist,2016
nematode,2,New Phytologist,2016
nematodes,2,New Phytologist,2016
neotropical,1,New Phytologist,2016
nepalese,1,New Phytologist,2016
net,2,New Phytologist,2016
network,4,New Phytologist,2016
networks,8,New Phytologist,2016
new,15,New Phytologist,2016
next,1,New Phytologist,2016
niche,4,New Phytologist,2016
niches,1,New Phytologist,2016
nickel,1,New Phytologist,2016
nicotiana,3,New Phytologist,2016
night,2,New Phytologist,2016
nin,1,New Phytologist,2016
nine,1,New Phytologist,2016
nitrate,3,New Phytologist,2016
nitric,3,New Phytologist,2016
nitrification,1,New Phytologist,2016
nitrogen,14,New Phytologist,2016
nitrosoglutathione,1,New Phytologist,2016
nlr,2,New Phytologist,2016
no,2,New Phytologist,2016
nodorum,1,New Phytologist,2016
nodulation,1,New Phytologist,2016
nodule,1,New Phytologist,2016
nodules,3,New Phytologist,2016
nonagricultural,2,New Phytologist,2016
nonclonal,1,New Phytologist,2016
noncoding,2,New Phytologist,2016
nongreen,1,New Phytologist,2016
nonhost,2,New Phytologist,2016
nonmetallicolous,1,New Phytologist,2016
nonnative,1,New Phytologist,2016
nonphotosynthetic,1,New Phytologist,2016
nonrandom,1,New Phytologist,2016
nonsense,1,New Phytologist,2016
nonstructural,2,New Phytologist,2016
noot,1,New Phytologist,2016
north,1,New Phytologist,2016
northerly,1,New Phytologist,2016
northern,1,New Phytologist,2016
norway,2,New Phytologist,2016
not,14,New Phytologist,2016
nothofagus,1,New Phytologist,2016
novel,9,New Phytologist,2016
novelty,1,New Phytologist,2016
nrc,3,New Phytologist,2016
nrpe,1,New Phytologist,2016
ntdrp,1,New Phytologist,2016
nuclear,1,New Phytologist,2016
nudatus,1,New Phytologist,2016
number,2,New Phytologist,2016
nutrient,3,New Phytologist,2016
nutrients,1,New Phytologist,2016
nutrition,1,New Phytologist,2016
nutritional,1,New Phytologist,2016
nymphaeales,1,New Phytologist,2016
o,2,New Phytologist,2016
oak,1,New Phytologist,2016
oaks,1,New Phytologist,2016
observed,1,New Phytologist,2016
octadecanoid,1,New Phytologist,2016
odours,1,New Phytologist,2016
off,2,New Phytologist,2016
offs,3,New Phytologist,2016
ohadii,1,New Phytologist,2016
old,2,New Phytologist,2016
oleaceae,1,New Phytologist,2016
oleosins,1,New Phytologist,2016
olfactory,1,New Phytologist,2016
olive,2,New Phytologist,2016
one,4,New Phytologist,2016
ones,1,New Phytologist,2016
ongoing,1,New Phytologist,2016
online,1,New Phytologist,2016
only,2,New Phytologist,2016
onset,1,New Phytologist,2016
oomycete,1,New Phytologist,2016
opening,1,New Phytologist,2016
operates,1,New Phytologist,2016
operativity,1,New Phytologist,2016
opportunities,2,New Phytologist,2016
opportunity,1,New Phytologist,2016
optimal,2,New Phytologist,2016
optimize,1,New Phytologist,2016
ora,1,New Phytologist,2016
orchids,3,New Phytologist,2016
organ,2,New Phytologist,2016
organic,3,New Phytologist,2016
organization,2,New Phytologist,2016
organizers,1,New Phytologist,2016
organogenesis,2,New Phytologist,2016
orientation,3,New Phytologist,2016
origin,5,New Phytologist,2016
originates,1,New Phytologist,2016
origins,2,New Phytologist,2016
orobanchaceae,1,New Phytologist,2016
ortholog,1,New Phytologist,2016
orthologs,1,New Phytologist,2016
oryza,4,New Phytologist,2016
oryzae,1,New Phytologist,2016
osclt,1,New Phytologist,2016
oscole,2,New Phytologist,2016
oscontinuous,1,New Phytologist,2016
osmotic,3,New Phytologist,2016
ossultr,1,New Phytologist,2016
ostreococcus,1,New Phytologist,2016
other,1,New Phytologist,2016
out,4,New Phytologist,2016
outcome,1,New Phytologist,2016
outgrowth,1,New Phytologist,2016
output,1,New Phytologist,2016
outside,1,New Phytologist,2016
outward,1,New Phytologist,2016
over,1,New Phytologist,2016
overexpression,1,New Phytologist,2016
overlapping,1,New Phytologist,2016
overrule,1,New Phytologist,2016
ovules,1,New Phytologist,2016
own,1,New Phytologist,2016
oxidase,2,New Phytologist,2016
oxidative,2,New Phytologist,2016
oxide,4,New Phytologist,2016
oxidosqualene,1,New Phytologist,2016
oxygen,9,New Phytologist,2016
oxyria,1,New Phytologist,2016
oxysporum,1,New Phytologist,2016
ozone,1,New Phytologist,2016
p,3,New Phytologist,2016
paleobotanical,1,New Phytologist,2016
paleogene,1,New Phytologist,2016
palms,1,New Phytologist,2016
pampered,1,New Phytologist,2016
panicum,1,New Phytologist,2016
papain,1,New Phytologist,2016
paper,1,New Phytologist,2016
paradigms,1,New Phytologist,2016
parallelism,1,New Phytologist,2016
parasite,2,New Phytologist,2016
parasites,1,New Phytologist,2016
parastagonospora,1,New Phytologist,2016
parenchyma,1,New Phytologist,2016
parent,2,New Phytologist,2016
parental,1,New Phytologist,2016
parsimonious,1,New Phytologist,2016
parsnip,1,New Phytologist,2016
partial,1,New Phytologist,2016
partially,1,New Phytologist,2016
participates,1,New Phytologist,2016
partitioning,1,New Phytologist,2016
partner,1,New Phytologist,2016
partners,1,New Phytologist,2016
pastinaca,1,New Phytologist,2016
patagonia,1,New Phytologist,2016
patens,3,New Phytologist,2016
pathogen,8,New Phytologist,2016
pathogenic,2,New Phytologist,2016
pathogenicities,1,New Phytologist,2016
pathogenicity,5,New Phytologist,2016
pathogens,4,New Phytologist,2016
paths,1,New Phytologist,2016
pathway,9,New Phytologist,2016
pathways,2,New Phytologist,2016
patronus,1,New Phytologist,2016
pattern,2,New Phytologist,2016
patterning,1,New Phytologist,2016
patterns,11,New Phytologist,2016
pbwoxt,1,New Phytologist,2016
pdr,1,New Phytologist,2016
peach,1,New Phytologist,2016
peanut,2,New Phytologist,2016
pear,1,New Phytologist,2016
pebp,1,New Phytologist,2016
pec,1,New Phytologist,2016
pectin,1,New Phytologist,2016
pedicularis,1,New Phytologist,2016
pen,2,New Phytologist,2016
penetration,3,New Phytologist,2016
pentyl,1,New Phytologist,2016
peptide,1,New Phytologist,2016
peptides,3,New Phytologist,2016
per,1,New Phytologist,2016
perenne,1,New Phytologist,2016
perennial,4,New Phytologist,2016
periods,1,New Phytologist,2016
peroxidases,1,New Phytologist,2016
peroxisomal,1,New Phytologist,2016
peroxisomes,1,New Phytologist,2016
persistence,1,New Phytologist,2016
personal,1,New Phytologist,2016
perspective,3,New Phytologist,2016
perspectives,1,New Phytologist,2016
perturbations,1,New Phytologist,2016
pestered,1,New Phytologist,2016
petal,1,New Phytologist,2016
phase,1,New Phytologist,2016
phaseolus,1,New Phytologist,2016
phases,1,New Phytologist,2016
phenological,2,New Phytologist,2016
phenology,6,New Phytologist,2016
phenotype,3,New Phytologist,2016
phenotypic,2,New Phytologist,2016
phenotyping,1,New Phytologist,2016
phenylalanine,1,New Phytologist,2016
pheromone,1,New Phytologist,2016
phloem,2,New Phytologist,2016
phosphate,5,New Phytologist,2016
phosphatidylethanolamine,1,New Phytologist,2016
phosphorus,13,New Phytologist,2016
phostin,1,New Phytologist,2016
photodamage,2,New Phytologist,2016
photoinhibitory,1,New Phytologist,2016
photomorphogenesis,1,New Phytologist,2016
photomorphogenic,1,New Phytologist,2016
photoperiod,1,New Phytologist,2016
photoregulation,1,New Phytologist,2016
photorespiration,1,New Phytologist,2016
photosynthesis,7,New Phytologist,2016
photosynthetic,2,New Phytologist,2016
photosystems,2,New Phytologist,2016
phototropin,1,New Phytologist,2016
pht,1,New Phytologist,2016
phyllanthus,1,New Phytologist,2016
phyllosphere,1,New Phytologist,2016
phylogenetic,3,New Phytologist,2016
phylogeny,1,New Phytologist,2016
phylogeographic,3,New Phytologist,2016
phylogeographical,1,New Phytologist,2016
physcomitrella,3,New Phytologist,2016
physically,1,New Phytologist,2016
physiological,2,New Phytologist,2016
phytate,1,New Phytologist,2016
phytochemical,1,New Phytologist,2016
phytochrome,3,New Phytologist,2016
phytogeographic,1,New Phytologist,2016
phytogeography,1,New Phytologist,2016
phytologist,1,New Phytologist,2016
phytophthora,2,New Phytologist,2016
phytoplankton,1,New Phytologist,2016
picea,2,New Phytologist,2016
pigmentation,2,New Phytologist,2016
pigments,2,New Phytologist,2016
pin,2,New Phytologist,2016
pine,6,New Phytologist,2016
pines,1,New Phytologist,2016
pisum,1,New Phytologist,2016
plant,91,New Phytologist,2016
plantagineum,1,New Phytologist,2016
plantations,1,New Phytologist,2016
plants,33,New Phytologist,2016
plasma,1,New Phytologist,2016
plasmid,1,New Phytologist,2016
plasmodium,1,New Phytologist,2016
plasticity,3,New Phytologist,2016
plastid,3,New Phytologist,2016
plastidial,1,New Phytologist,2016
